Type,Size,Blocks,ThreadsPerBlock,ComputationTimeMs,ExecutionTimeMs,DataTransferTimeMs,Throughput,Sorted
Cuda Odd-Even,10000,79,64,81.628,82.401,0.102,121314.17,Yes
Cuda Odd-Even,100000,782,64,743.315,745.473,0.191,134030.17,Yes
Cuda Odd-Even,200000,1563,64,1604.923,1608.728,0.238,124234.54,Yes
Cuda Odd-Even,10000,79,64,72.706,73.263,0.076,136403.32,Yes
Cuda Odd-Even,100000,782,64,735.854,737.587,0.152,135494.36,Yes
Cuda Odd-Even,200000,1563,64,1651.805,1654.599,0.278,120807.62,Yes
Cuda Odd-Even,10000,79,64,70.059,70.68,0.068,141409.91,Yes
Cuda Odd-Even,100000,782,64,763.104,764.752,0.156,130683.2,Yes
Cuda Odd-Even,200000,1563,64,1593.635,1596.918,0.306,125161.98,Yes
Cuda Odd-Even,10000,79,64,71.01,71.605,0.077,139598.12,Yes
Cuda Odd-Even,100000,782,64,774.691,776.968,0.172,128598.89,Yes
Cuda Odd-Even,200000,1563,64,1688.157,1691.459,0.304,118161.18,Yes
Cuda Odd-Even,10000,40,128,89.765,90.986,0.1,109875.14,Yes
Cuda Odd-Even,100000,391,128,885.553,887.532,0.192,112571.15,Yes
Cuda Odd-Even,200000,782,128,1595.384,1598.7,0.292,124986.54,Yes
Cuda Odd-Even,10000,40,128,76.816,77.481,0.09,129016.94,Yes
Cuda Odd-Even,100000,391,128,773.209,775.117,0.215,128881.52,Yes
Cuda Odd-Even,200000,782,128,1501.282,1504.107,0.24,132879.05,Yes
Cuda Odd-Even,10000,40,128,91.819,92.432,0.073,108153.24,Yes
Cuda Odd-Even,100000,391,128,851.936,853.747,0.165,117036.38,Yes
Cuda Odd-Even,200000,782,128,1650.721,1653.58,0.25,120874.48,Yes
Cuda Odd-Even,10000,40,128,66.633,67.253,0.089,148630.81,Yes
Cuda Odd-Even,100000,391,128,804.783,806.316,0.16,123957.92,Yes
Cuda Odd-Even,200000,782,128,1688.131,1691.001,0.25,118196.56,Yes
Cuda Odd-Even,10000,20,256,113.394,114.51,0.11,87297.13,Yes
Cuda Odd-Even,100000,196,256,878.539,880.355,0.17,113521.73,Yes
Cuda Odd-Even,200000,391,256,1593.57,1596.315,0.242,125209.42,Yes
Cuda Odd-Even,10000,20,256,64.576,65.242,0.076,153162.58,Yes
Cuda Odd-Even,100000,196,256,856.03,857.698,0.181,116528.33,Yes
Cuda Odd-Even,200000,391,256,1600.39,1603.306,0.241,124661.4,Yes
Cuda Odd-Even,10000,20,256,65.555,66.156,0.063,151078.63,Yes
Cuda Odd-Even,100000,196,256,758.337,760.347,0.157,131436.48,Yes
Cuda Odd-Even,200000,391,256,1530.161,1533.195,0.283,130364.54,Yes
Cuda Odd-Even,10000,20,256,68.253,68.948,0.06,144955.27,Yes
Cuda Odd-Even,100000,196,256,723.622,725.364,0.149,137754.9,Yes
Cuda Odd-Even,200000,391,256,1561.899,1564.703,0.263,127741.47,Yes
Cuda Odd-Even,10000,10,512,104.332,105.087,0.107,95086.41,Yes
Cuda Odd-Even,100000,98,512,787.062,788.843,0.21,126698.28,Yes
Cuda Odd-Even,200000,196,512,1669.246,1672.524,0.29,119500.19,Yes
Cuda Odd-Even,10000,10,512,75.274,75.879,0.079,131732.35,Yes
Cuda Odd-Even,100000,98,512,760.665,762.898,0.228,130969.37,Yes
Cuda Odd-Even,200000,196,512,1553.813,1557.828,0.674,128286.49,Yes
Cuda Odd-Even,10000,10,512,66.18,66.71,0.062,149843.26,Yes
Cuda Odd-Even,100000,98,512,720.393,722.064,0.17,138398.55,Yes
Cuda Odd-Even,200000,196,512,1472.0,1475.089,0.264,135493.43,Yes
Cuda Odd-Even,10000,10,512,70.512,71.139,0.11,140517.13,Yes
Cuda Odd-Even,100000,98,512,791.307,793.4,0.273,125972.11,Yes
Cuda Odd-Even,200000,196,512,1705.753,1709.951,0.265,116876.94,Yes
