Type,Size,Blocks,ThreadsPerBlock,ComputationTimeMs,ExecutionTimeMs,DataTransferTimeMs,Throughput,Sorted
Cuda Odd-Even,10000,40,128,89.765,90.986,0.100,109875.14,Yes
Cuda Odd-Even,100000,391,128,885.553,887.532,0.192,112571.15,Yes
Cuda Odd-Even,200000,782,128,1595.384,1598.700,0.292,124986.54,Yes
Cuda Odd-Even,10000,40,128,76.816,77.481,0.090,129016.94,Yes
Cuda Odd-Even,100000,391,128,773.209,775.117,0.215,128881.52,Yes
Cuda Odd-Even,200000,782,128,1501.282,1504.107,0.240,132879.05,Yes
Cuda Odd-Even,10000,40,128,91.819,92.432,0.073,108153.24,Yes
Cuda Odd-Even,100000,391,128,851.936,853.747,0.165,117036.38,Yes
Cuda Odd-Even,200000,782,128,1650.721,1653.580,0.250,120874.48,Yes
Cuda Odd-Even,10000,40,128,66.633,67.253,0.089,148630.81,Yes
Cuda Odd-Even,100000,391,128,804.783,806.316,0.160,123957.92,Yes
Cuda Odd-Even,200000,782,128,1688.131,1691.001,0.250,118196.56,Yes
