Type,Size,Threads,ComputationTimeMs,ExecutionTimeMs,DataTransferTimeMs,Throughput,Speedup,Sorted
Multithread,10000,1,173.936,173.936,0.000,57492.48,1.00,Yes
Multithread,10000,2,491.160,491.160,0.000,20359.95,0.35,Yes
Multithread,10000,4,543.586,543.586,0.000,18396.35,0.32,Yes
Multithread,10000,8,572.193,572.193,0.000,17476.62,0.30,Yes
Multithread,10000,16,771.355,771.355,0.000,12964.21,0.23,Yes
Multithread,100000,1,20608.966,20608.966,0.000,4852.26,1.00,Yes
Multithread,100000,2,51920.715,51920.715,0.000,1926.01,0.40,Yes
Multithread,100000,4,67368.503,67368.503,0.000,1484.37,0.31,Yes
Multithread,100000,8,75577.001,75577.001,0.000,1323.15,0.27,Yes
Multithread,100000,16,74907.139,74907.139,0.000,1334.99,0.28,Yes
Multithread,200000,1,103234.101,103234.101,0.000,1937.34,1.00,Yes
Multithread,200000,2,218363.889,218363.889,0.000,915.90,0.47,Yes
Multithread,200000,4,286643.345,286643.345,0.000,697.73,0.36,Yes
Multithread,200000,8,312194.298,312194.298,0.000,640.63,0.33,Yes
Multithread,200000,16,300498.437,300498.437,0.000,665.56,0.34,Yes
