Type,Size,Threads,ComputationTimeMs,ExecutionTimeMs,DataTransferTimeMs,Throughput,Speedup,Sorted
Sequential,10000,1,177.862,177.862,0.000,56223.33,1.00,Yes
OpenMP,10000,2,437.257,437.319,0.061,22869.83,0.41,Yes
OpenMP,10000,4,415.506,415.564,0.058,24067.04,0.43,Yes
OpenMP,10000,8,555.209,555.271,0.062,18011.23,0.32,Yes
OpenMP,10000,16,1189.404,1189.465,0.060,8407.57,0.15,Yes
Sequential,100000,1,30063.286,30063.286,0.000,3326.32,1.00,Yes
OpenMP,100000,2,37736.102,37736.924,0.823,2649.98,0.80,Yes
OpenMP,100000,4,29197.448,29198.203,0.755,3424.96,1.03,Yes
OpenMP,100000,8,23375.878,23376.683,0.805,4277.91,1.29,Yes
OpenMP,100000,16,26351.061,26351.776,0.715,3794.91,1.14,Yes
Sequential,200000,1,126344.088,126344.088,0.000,1582.98,1.00,Yes
OpenMP,200000,2,119847.192,119848.747,1.555,1668.79,1.05,Yes
OpenMP,200000,4,77513.216,77514.568,1.352,2580.21,1.63,Yes
OpenMP,200000,8,57846.126,57847.406,1.280,3457.45,2.18,Yes
OpenMP,200000,16,39301.177,39302.532,1.355,5088.91,3.21,Yes
Sequential,10000,1,194.722,194.722,0.000,51355.29,1.00,Yes
OpenMP,10000,2,372.572,372.678,0.106,26840.48,0.52,Yes
OpenMP,10000,4,337.006,337.062,0.056,29673.07,0.58,Yes
OpenMP,10000,8,589.501,589.552,0.051,16963.50,0.33,Yes
OpenMP,10000,16,1473.207,1473.284,0.077,6787.91,0.13,Yes
Sequential,100000,1,28540.327,28540.327,0.000,3503.81,1.00,Yes
OpenMP,100000,2,27014.355,27015.019,0.664,3701.74,1.06,Yes
OpenMP,100000,4,21984.089,21984.714,0.624,4548.74,1.30,Yes
OpenMP,100000,8,16072.491,16074.105,1.614,6221.81,1.78,Yes
OpenMP,100000,16,12392.680,12394.593,1.913,8069.28,2.30,Yes
Sequential,200000,1,128127.545,128127.545,0.000,1560.94,1.00,Yes
OpenMP,200000,2,121731.020,121732.217,1.197,1642.97,1.05,Yes
OpenMP,200000,4,87337.982,87341.616,3.634,2289.95,1.47,Yes
OpenMP,200000,8,54194.152,54196.813,2.661,3690.44,2.36,Yes
OpenMP,200000,16,41995.587,41999.614,4.027,4762.41,3.05,Yes
Sequential,10000,1,176.256,176.256,0.000,56735.56,1.00,Yes
OpenMP,10000,2,514.128,514.182,0.053,19450.41,0.34,Yes
OpenMP,10000,4,275.100,275.155,0.055,36350.39,0.64,Yes
OpenMP,10000,8,464.550,464.602,0.052,21526.19,0.38,Yes
OpenMP,10000,16,948.568,948.630,0.062,10542.21,0.19,Yes
Sequential,100000,1,27506.543,27506.543,0.000,3635.50,1.00,Yes
OpenMP,100000,2,28064.684,28065.424,0.740,3563.20,0.98,Yes
OpenMP,100000,4,17921.658,17923.397,1.739,5579.84,1.53,Yes
OpenMP,100000,8,16464.200,16464.987,0.786,6073.78,1.67,Yes
OpenMP,100000,16,12024.593,12025.324,0.732,8316.29,2.29,Yes
Sequential,200000,1,119194.325,119194.325,0.000,1677.93,1.00,Yes
OpenMP,200000,2,102167.023,102168.408,1.385,1957.58,1.17,Yes
OpenMP,200000,4,82029.351,82030.708,1.357,2438.15,1.45,Yes
OpenMP,200000,8,53170.754,53173.553,2.799,3761.47,2.24,Yes
OpenMP,200000,16,37945.174,37946.576,1.402,5270.76,3.14,Yes
